verbatim,diagnosis,comment,verbatim_trans_fr,diagnosis_trans_fr,comment_trans_fr,text,ce
MELDING OPROEP SOS KONTROLEREN,Na begeleide diagnose volgen zegt deze de rekeneenheid van de telematica te vervangen.,"Volg alleen de procedure voor DTC AE0E49, toegankelijk via de begeleide diagnose//Na de werkzaamheden en toepassing van de procedure na reparatie: forceer de   na contact van de auto (zie, Bedrading - g//Controleer op andere DTC's in de computer van het telematicasysteem. ACTIS 68875",VÉRIFIER LA NOTIFICATION D'APPEL SOS,"Suite au diagnostic guidé, il est indiqué de remplacer le boîtier informatique télématique.","Suivre uniquement la procédure du DTC AE0E49, accessible par le diagnostic guidé Après intervention et application de la procédure après réparation : forcer le contact sur la voiture (voir, Câblage - gVérifier les autres DTC dans le calculateur du système télématique. ACTIS 68875","VÉRIFIER LA NOTIFICATION D'APPEL SOS. Suite au diagnostic guidé, il est indiqué de remplacer le boîtier informatique télématique. Suivre uniquement la procédure du DTC AE0E49, accessible par le diagnostic guidé Après intervention et application de la procédure après réparation : forcer le contact sur la voiture (voir, Câblage - gVérifier les autres DTC dans le calculateur du système télématique. ACTIS 68875","message ""sos to check"""
BEITIER TELEMATIQ in mag ref 2591A9796R vdc GC-792-CF,SOS DA CONTROLLARESOSTITUITO TCU,SOSTITUITO TCU,BEITIER TELEMATIQ en mag réf 2591A9796R vdc GC-792-CF,SOS POUR VÉRIFIER LE TCU REMPLACÉ,TCU REMPLACÉ,BEITIER TELEMATIQ en mag réf 2591A9796R vdc GC-792-CF. SOS POUR VÉRIFIER LE TCU REMPLACÉ. TCU REMPLACÉ,"message ""sos to check"""
TESRTIGO LLAMADA SOS A CONTROLAR,SUST CAJERO TELEMATICO,CAJERO TELEMATICO CIRCUITADO,TÉMOIN APPEL SOS POUR CONTRÔLER,REMPLACER GAB,GAB TÉLÉMATIQUE CIRCUITÉ,TÉMOIN APPEL SOS POUR CONTRÔLER. REMPLACER GAB. GAB TÉLÉMATIQUE CIRCUITÉ,"message ""sos to check"""
ENCENDIDO DE TESTIGO,SUSTITUCION CAJERO TELEMATICOS,FALLO CAJERO TELEMATICOS DTCCAE0E49 CODECAL: R440DP,LUMIÈRE LUMIÈRE,REMPLACEMENT CAISSE TÉLÉMATIQUE,ÉCHEC ATM TÉLÉMATIQUE DTCCAE0E49 CODECAL : R440DP,LUMIÈRE LUMIÈRE. REMPLACEMENT CAISSE TÉLÉMATIQUE. ÉCHEC ATM TÉLÉMATIQUE DTCCAE0E49 CODECAL : R440DP,"message ""sos to check"""
MESSAGE APPEL SOS A CONTROLER,BOITIER TCU REMONTE UN DTC AE0E49 IMPOSSIBLE A SUPPRIMER,FONCTION SOS CONFORME SUITE REMPLACEMENT,MESSAGE APPEL SOS A CONTROLER,BOITIER TCU REMONTE UN DTC AE0E49 IMPOSSIBLE A SUPPRIMER,FONCTION SOS CONFORME SUITE REMPLACEMENT,MESSAGE APPEL SOS A CONTROLER. BOITIER TCU REMONTE UN DTC AE0E49 IMPOSSIBLE A SUPPRIMER. FONCTION SOS CONFORME SUITE REMPLACEMENT,"message ""sos to check"""
MESSAGES SOS A CONTROLER ET SERVICES CONNECTES HORS SERVICE,diag suivant DTCAE0E49 anomalie electronique interne calculateur UCT et BT68875,lecture defauts + application BT68875 + remplacement calculateur télématique,MESSAGES SOS A CONTROLER ET SERVICES CONNECTES HORS SERVICE,diag suivant DTCAE0E49 anomalie electronique interne calculateur UCT et BT68875,lecture defauts + application BT68875 + remplacement calculateur télématique,MESSAGES SOS A CONTROLER ET SERVICES CONNECTES HORS SERVICE. diag suivant DTCAE0E49 anomalie electronique interne calculateur UCT et BT68875. lecture defauts + application BT68875 + remplacement calculateur télématique,"message ""sos to check"""
DIAGNOSTIC ELECTRONIQUE BOUTON SOS I436 QUI EST RESTER ALLUME,controle et remp boitier telematique  DTCAE0E49,controle et remp boitier telematique. accord fic 4-11236362,DIAGNOSTIC ELECTRONIQUE BOUTON SOS I436 QUI EST RESTER ALLUME,controle et remp boitier telematique  DTCAE0E49,controle et remp boitier telematique. accord fic 4-11236362,DIAGNOSTIC ELECTRONIQUE BOUTON SOS I436 QUI EST RESTER ALLUME. controle et remp boitier telematique DTCAE0E49. controle et remp boitier telematique. accord fic 4-11236362,"message ""sos to check"""
,Fehlermeldung SOS-Anruf prüfen leuchtet permanent,Telematik wurde ausgetauscht und eingelesen,,Message d'erreur Vérifier l'appel SOS s'allume en permanence,La télématique a été échangée et lue dans, Message d'erreur Vérifier l'appel SOS s'allume en permanence. La télématique a été échangée et lue dans,"message ""sos to check"""
message sos a controler,diag suivant DTCAE0E49 anomalie calculateur UCT + FIC 4-11242553,lecture defauts + remplacement UCT + FIC 4-11242553//7679 donné par FIC,message sos a controler,diag suivant DTCAE0E49 anomalie calculateur UCT + FIC 4-11242553,lecture defauts + remplacement UCT + FIC 4-112425537679 donné par FIC,message sos a controler. diag suivant DTCAE0E49 anomalie calculateur UCT + FIC 4-11242553. lecture defauts + remplacement UCT + FIC 4-112425537679 donné par FIC,"message ""sos to check"""
VOYANT SOS ROUGE,VOYANT SOS ROUGE ALLUME,"CONTROLE CLIP, BOITIER TELEMATIQUE EN DEFAUT, CONTROLE CABLAGE, BOITIER HS, REMPLACEMENT ET//REPROGRAMMATION",VOYANT SOS ROUGE,VOYANT SOS ROUGE ALLUME,"CONTROLE CLIP, BOITIER TELEMATIQUE EN DEFAUT, CONTROLE CABLAGE, BOITIER HS, REMPLACEMENT ETREPROGRAMMATION","VOYANT SOS ROUGE. VOYANT SOS ROUGE ALLUME. CONTROLE CLIP, BOITIER TELEMATIQUE EN DEFAUT, CONTROLE CABLAGE, BOITIER HS, REMPLACEMENT ETREPROGRAMMATION","message ""sos to check"""
SERVICE CONNECTE NON FONCTIONNEL,DIAG POUR PAS DE SYNCHRO ENTRE VH ET MY RENAULT,DIAG POUR PAS DE SYNCHRO EN LE VH ET MY RENAULT/ PASSAGE VAL ISE+ LECTURE DES DEF/CONTROLE LOGICIEL A JOUR/PBO ACTIVE CA//RTE SIM ACTIVE/ REF HELPLINE 4-11052931 ET OUVERTURE FIC 4 -11225975/ACTIONS SUIVANT FIC/ESSAI RETOUR CLIENT OK/VALIDATI//ON/FIN DE TRAVAUX,SERVICE CONNECTE NON FONCTIONNEL,DIAG POUR PAS DE SYNCHRO ENTRE VH ET MY RENAULT,DIAG POUR PAS DE SYNCHRO EN LE VH ET MY RENAULT PASSAGE VAL ISE+ LECTURE DES DEFCONTROLE LOGICIEL A JOURPBO ACTIVE CARTE SIM ACTIVE REF HELPLINE 4-11052931 ET OUVERTURE FIC 4 -11225975ACTIONS SUIVANT FICESSAI RETOUR CLIENT OKVALIDATIONFIN DE TRAVAUX,SERVICE CONNECTE NON FONCTIONNEL. DIAG POUR PAS DE SYNCHRO ENTRE VH ET MY RENAULT. DIAG POUR PAS DE SYNCHRO EN LE VH ET MY RENAULT PASSAGE VAL ISE+ LECTURE DES DEFCONTROLE LOGICIEL A JOURPBO ACTIVE CARTE SIM ACTIVE REF HELPLINE 4-11052931 ET OUVERTURE FIC 4 -11225975ACTIONS SUIVANT FICESSAI RETOUR CLIENT OKVALIDATIONFIN DE TRAVAUX,"message ""sos to check"""
LUZ SOS ACESA,,CX TELEMATICA COM AVARIA INTERNA,VOYANT SOS ALLUMÉ,,TELEMATICS CX AVEC PANNE INTERNE,VOYANT SOS ALLUMÉ. TELEMATICS CX AVEC PANNE INTERNE,"message ""sos to check"""
SOS DA CONTROLLARE,SEGANALZIONE SOS DA CONTROLLARE,VEDI FIC N 4-11257182 SOSTITUZIONE ECU TCU  VEDI FIC N 4-11458613 DOVE SI AUTORIZZA OPECODE 7679 1H//RITARTO CHIUSURA OR PER VETTURA FUORI REGIONE-MESSO TEMPARIO COME PEZZO CAUSA PERCHE IL DMS NON RICONOSCE LA REF.SOST.//2591A9796R.,SOS A VÉRIFIER,SIGNAL SOS À VÉRIFIER,VOIR FIC N 4-11257182 TCU ECU REMPLACEMENT VOIR FIC N 4-11458613 OÙ IL EST AUTORISÉ OPÉCODE 7679 1HRITARTO FERMETURE OU POUR VÉHICULE HORS RÉGION - TEMPÉRÉ COMME PIÈCE CAUSE POURQUOI LE DMS NE RECONNAÎT PAS LE REF.SOST.2591A9796R.,SOS A VÉRIFIER. SIGNAL SOS À VÉRIFIER. VOIR FIC N 4-11257182 TCU ECU REMPLACEMENT VOIR FIC N 4-11458613 OÙ IL EST AUTORISÉ OPÉCODE 7679 1HRITARTO FERMETURE OU POUR VÉHICULE HORS RÉGION - TEMPÉRÉ COMME PIÈCE CAUSE POURQUOI LE DMS NE RECONNAÎT PAS LE REF.SOST.2591A9796R.,"message ""sos to check"""
A VOLTE SEGNA SOS CONTROLLARE,ERRORE SOFTWARE TCU,RIPROGRAMMAZIONE TCU COME DA BT 68875,PARFOIS IL SIGNE SOS CHECK,ERREUR DU LOGICIEL TCU,REPROGRAMMATION TCU SELON BT 68875,PARFOIS IL SIGNE SOS CHECK. ERREUR DU LOGICIEL TCU. REPROGRAMMATION TCU SELON BT 68875,"message ""sos to check"""
Notruf prüfen leuchtet auf - Fehlerspeicher auslesen,,Notruf prüfen leuchtet auf - Fehlerspeicher auslesen RA: Autoconfig TCU durchgeführt,Vérifier que l'appel d'urgence s'allume - lire la mémoire des défauts,,Vérifier l'appel d'urgence s'allume - lire la mémoire d'erreurs RA : Autoconfig TCU effectuée,Vérifier que l'appel d'urgence s'allume - lire la mémoire des défauts. Vérifier l'appel d'urgence s'allume - lire la mémoire d'erreurs RA : Autoconfig TCU effectuée,"message ""sos to check"""
MENSAJE AVERIA SOS CS I436,ANOMALIA ELECTRONICA INTERNA CALCULADOR TELEMATICO,MR 1319149 SE UTILIZA CODIGO 8224 PARA VER CONTINUIDAD,MESSAGE DEFAUT SOS CS I436,CALCULATEUR TÉLÉMATIQUE D'ANOMALIE ÉLECTRONIQUE INTERNE,MR 1319149 UTILISEZ LE CODE 8224 POUR VOIR LA CONTINUITÉ,MESSAGE DEFAUT SOS CS I436. CALCULATEUR TÉLÉMATIQUE D'ANOMALIE ÉLECTRONIQUE INTERNE. MR 1319149 UTILISEZ LE CODE 8224 POUR VOIR LA CONTINUITÉ,"message ""sos to check"""
REPARAR AVERIA ES EL SOS,CALCULADOR ANOMALIA INTERNA SEGUN IT VIA FIC 4-11222627,,L'ÉCHEC DE LA RÉPARATION EST LE SOS,CALCULATEUR D'ANOMALIE INTERNE SELON ELLE VIA FIC 4-11222627,,L'ÉCHEC DE LA RÉPARATION EST LE SOS. CALCULATEUR D'ANOMALIE INTERNE SELON ELLE VIA FIC 4-11222627. ,"message ""sos to check"""
apel sos a controler + divers ; vehicule de pret reserve au rent,SUITE DIAG REMPLACEMENT BOITIER TELEMATIQUE,SUITE REMPLACEMENT BOITIER VEHICULE OK//FIC N 4-11222238,appeler sos pour contrôler + divers; prix de réserve véhicules à louer,SUITE DIAG REMPLACEMENT BOITIER TELEMATIQUE,SUITE REMPLACEMENT BOITIER VEHICULE OKFIC N 4-11222238,appeler sos pour contrôler + divers; prix de réserve véhicules à louer. SUITE DIAG REMPLACEMENT BOITIER TELEMATIQUE. SUITE REMPLACEMENT BOITIER VEHICULE OKFIC N 4-11222238,"message ""sos to check"""
Fehlermeldung  NOTRUF PRÜFEN,Fehlermeldung  NOTRUF PRÜFEN,FEHLERSPEICHER AUSGELESEN - BATTERIE DEFEKT//BATTERIE ERNEUERT - PROBEFAHRT DUCHGEFÜHRT,Message d'erreur VÉRIFIER L'APPEL D'URGENCE,Message d'erreur VÉRIFIER L'APPEL D'URGENCE,FAULT MEMORY READ - BATTERIE DÉFECTUEUSE BATTERIE REMPLACÉE - TEST ROUTIER EFFECTUÉ,Message d'erreur VÉRIFIER L'APPEL D'URGENCE. Message d'erreur VÉRIFIER L'APPEL D'URGENCE. FAULT MEMORY READ - BATTERIE DÉFECTUEUSE BATTERIE REMPLACÉE - TEST ROUTIER EFFECTUÉ,"message ""sos to check"""
SOS A CONTROLER,diag circuit alim remplacement boitier tematique essai vh ok,diag circuit alim remplacement boitier tematique essai vh ok,SOS POUR CONTRÔLER,diag circuit alim remplacement boitier tematique essai vh ok,diag circuit alim remplacement boitier tematique essai vh ok,SOS POUR CONTRÔLER. diag circuit alim remplacement boitier tematique essai vh ok. diag circuit alim remplacement boitier tematique essai vh ok,"message ""sos to check"""
BC MELDET NOTRUF FEHLER,,TELEMATIK BATT. ERS. ALLES NEU PROGR.,LA C.-B. SIGNALE UNE ERREUR D'URGENCE,,TÉLÉMATIQUE BATT. ERS. TOUT NOUVEAU PROGRAMME,LA C.-B. SIGNALE UNE ERREUR D'URGENCE. TÉLÉMATIQUE BATT. ERS. TOUT NOUVEAU PROGRAMME,"message ""sos to check"""
VOYANT SOS RESTE ALLUME EN ROUGE,Message SOS à contrôler allumé,"Défaut DTCAE0E49 mémorisé, Suivi de la méthode de diagnostiq ue guidé Remplacement du calculateur de télématique",VOYANT SOS RESTE ALLUME EN ROUGE,Message SOS à contrôler allumé,"Défaut DTCAE0E49 mémorisé, Suivi de la méthode de diagnostiq ue guidé Remplacement du calculateur de télématique","VOYANT SOS RESTE ALLUME EN ROUGE. Message SOS à contrôler allumé. Défaut DTCAE0E49 mémorisé, Suivi de la méthode de diagnostiq ue guidé Remplacement du calculateur de télématique","message ""sos to check"""
,REMPLACEMENT CALCULATEUR TELEMATIQUE,CONTROLE MESSAGE SOS A CONTROLER CONTROLE CLIP PAS DE DIALOG A VEC LE CALCU TCU//CONTROLE ALIMENTATION ETAT ET PARAMETRE REMPLACEMENT TCU REPROG//PLUS DE VOYANT,,REMPLACEMENT CALCULATEUR TELEMATIQUE,CONTROLE MESSAGE SOS A CONTROLER CONTROLE CLIP PAS DE DIALOG A VEC LE CALCU TCUCONTROLE ALIMENTATION ETAT ET PARAMETRE REMPLACEMENT TCU REPROGPLUS DE VOYANT, REMPLACEMENT CALCULATEUR TELEMATIQUE. CONTROLE MESSAGE SOS A CONTROLER CONTROLE CLIP PAS DE DIALOG A VEC LE CALCU TCUCONTROLE ALIMENTATION ETAT ET PARAMETRE REMPLACEMENT TCU REPROGPLUS DE VOYANT,"message ""sos to check"""
Notrufsystem prüfen,,DTCAE0E49/DTCAE138F/DTCAE1706/DTCAE2306/DTCAE3A06/DTCAE3D06,Vérifier le système d'appel d'urgence,,DTCAE0E49DTCAE138FDTCAE1706DTCAE2306DTCAE3A06DTCAE3D06,Vérifier le système d'appel d'urgence. DTCAE0E49DTCAE138FDTCAE1706DTCAE2306DTCAE3A06DTCAE3D06,"message ""sos to check"""
DIAG SOS A CONTROLER,,DIAG SOS A CONTROLER / CONTROLE DTC / FIC 4-11394426 ACCORD REMPLACEMENT TC / SOLUTION ACTIS 68875,DIAG SOS A CONTRÔLEUR,,DIAG SOS A CONTROLER  CONTROLE DTC  FIC 4-11394426 ACCORD REMPLACEMENT TC  SOLUTION ACTIS 68875,DIAG SOS A CONTRÔLEUR. DIAG SOS A CONTROLER CONTROLE DTC FIC 4-11394426 ACCORD REMPLACEMENT TC SOLUTION ACTIS 68875,"message ""sos to check"""
MESSAGGIO CHIAMATA SOS DA CONTROLLARE,NECESSARIA LA SOST DELLA CENTRALINA TCU PER MANCATCOLLEGAMENTO DTC AE0E49,NECESSARIA LA SOST DEL CALCOLATORE TCU PER DTCAE0E49                            utilizzo code ricerca guasto 8286 per co//ntrolli continuita dispersione,MESSAGE D'APPEL SOS À VÉRIFIER,REMPLACEMENT DE L'ECU TCU NÉCESSAIRE EN RAISON DE L'ÉCHEC DE CONNEXION DTC AE0E49,REMPLACEMENT DE L'ORDINATEUR TCU REQUIS POUR DTCAE0E49 utiliser la recherche de code pour le défaut 8286 pour les contrôles de dispersion de continuité,MESSAGE D'APPEL SOS À VÉRIFIER. REMPLACEMENT DE L'ECU TCU NÉCESSAIRE EN RAISON DE L'ÉCHEC DE CONNEXION DTC AE0E49. REMPLACEMENT DE L'ORDINATEUR TCU REQUIS POUR DTCAE0E49 utiliser la recherche de code pour le défaut 8286 pour les contrôles de dispersion de continuité,"message ""sos to check"""
,,diag appel sos a controler / controle electrique,,,diag appel sos a controler  controle electrique, . diag appel sos a controler controle electrique,"message ""sos to check"""
SPIA SOS ACCESA,SOSTITUZIONE CALCOLATORE TCU   FIC N 4-11300813,SOSTITUZIONE CALCOLATORE TCU   FIC N 4-11300813,VOYANT SOS ALLUMÉ,TCU FIC N 4-11300813 REMPLACEMENT DE L'ORDINATEUR,TCU FIC N 4-11300813 REMPLACEMENT DE L'ORDINATEUR,VOYANT SOS ALLUMÉ. TCU FIC N 4-11300813 REMPLACEMENT DE L'ORDINATEUR. TCU FIC N 4-11300813 REMPLACEMENT DE L'ORDINATEUR,"message ""sos to check"""
MESSAGGIO CHIAMATA EMERGENZA DA CONTROLLARE,MESSAGGIO CHIAMATA SOS DA CONTROLLARE,ANOMALIA DEL MODULO UNITA' TELEMATICA TCU//SOSTITUZIONE TCU,MESSAGE D'APPEL D'URGENCE A VÉRIFIER,MESSAGE D'APPEL SOS À VÉRIFIER,ANOMALIE DU MODULE UNITÉ TÉLÉMATIQUE TCU REMPLACEMENT DU TCU,MESSAGE D'APPEL D'URGENCE A VÉRIFIER. MESSAGE D'APPEL SOS À VÉRIFIER. ANOMALIE DU MODULE UNITÉ TÉLÉMATIQUE TCU REMPLACEMENT DU TCU,"message ""sos to check"""
VOYANT SOS S'ALLUME,"DTC AE0E49, AE138F, AE2306 et AE3D06. Boitier télématique HS.","Contrôle solution 68875 suite DTC AE0E49, contrôle électriqu e selon MD suite DTC AE138F, OK. Remplacement du calculateu//r télématique. Fonctionnement conforme.",VOYANT SOS S'ALLUME,"DTC AE0E49, AE138F, AE2306 et AE3D06. Boitier télématique HS.","Contrôle solution 68875 suite DTC AE0E49, contrôle électriqu e selon MD suite DTC AE138F, OK. Remplacement du calculateur télématique. Fonctionnement conforme.","VOYANT SOS S'ALLUME. DTC AE0E49, AE138F, AE2306 et AE3D06. Boitier télématique HS. Contrôle solution 68875 suite DTC AE0E49, contrôle électriqu e selon MD suite DTC AE138F, OK. Remplacement du calculateur télématique. Fonctionnement conforme.","message ""sos to check"""
KB: Notruf prüfen - wird im Display  angezeigt,KB: Notruf prüfen - wird im Display  angezeigt,"Kontrolle mit Clip auf Fehler, gespeichert ist: DTCAE0E49 & DTCAE0016//Sperren Airbagsystem, Austausch Telematiksteuergerät,  Fehler löschen//Funktionsprobe = OK",KB : vérifier l'appel d'urgence - s'affiche à l'écran,KB : vérifier l'appel d'urgence - s'affiche à l'écran,"Vérifiez avec le clip pour les erreurs, stocké est : DTCAE0E49 & DTCAE0016 Verrouiller le système d'airbag, remplacer l'unité de commande télématique, supprimer les erreurs, test de fonctionnement = OK","KB : vérifier l'appel d'urgence - s'affiche à l'écran. KB : vérifier l'appel d'urgence - s'affiche à l'écran. Vérifiez avec le clip pour les erreurs, stocké est : DTCAE0E49 & DTCAE0016 Verrouiller le système d'airbag, remplacer l'unité de commande télématique, supprimer les erreurs, test de fonctionnement = OK","message ""sos to check"""
sviti kontrolka SOS volani,DTC 932C13 - USB pripojeni TELEMATICKE JEDNOTKY,vymena jednotka telematikyFIC - 4 - 11201745,commande de rotation des volants SOS,DTC 932C13 - CONNEXION USB DE L'UNITÉ TÉLÉMATIQUE,central télématiqueFIC - 4 - 11201745,commande de rotation des volants SOS. DTC 932C13 - CONNEXION USB DE L'UNITÉ TÉLÉMATIQUE. central télématiqueFIC - 4 - 11201745,"message ""sos to check"""
TESTIGO FALLO SOS,SUST CALCULADOR,CALCULADOR TELEMATICO CIRCUTADO,DÉFAUT TÉMOIN SOS,REMPLACER LA CALCULATRICE,CALCULATEUR TÉLÉMATIQUE CIRCUTADO,DÉFAUT TÉMOIN SOS. REMPLACER LA CALCULATRICE. CALCULATEUR TÉLÉMATIQUE CIRCUTADO,"message ""sos to check"""
Message SOS à contrôler,,Remplacement boitier télématique//Voir FIC 4-11201596,Message SOS à contrôler,,Remplacement boitier télématiqueVoir FIC 4-11201596,Message SOS à contrôler. Remplacement boitier télématiqueVoir FIC 4-11201596,"message ""sos to check"""
SOS A CONTROLER,DÉFAILLANCE INTERNE CALCULATEUR BOITIER TELEMATIQUE DTCAE0E49,0834 YC CONTRâLE CLIP CONTRâLE ETAT ET PARAMÈTRES.,SOS POUR CONTRÔLER,DÉFAILLANCE INTERNE CALCULATEUR BOITIER TELEMATIQUE DTCAE0E49,0834 YC CONTRâLE CLIP CONTRâLE ETAT ET PARAMÈTRES.,SOS POUR CONTRÔLER. DÉFAILLANCE INTERNE CALCULATEUR BOITIER TELEMATIQUE DTCAE0E49. 0834 YC CONTRâLE CLIP CONTRâLE ETAT ET PARAMÈTRES.,"message ""sos to check"""
,"Geführte Diagnose, SOS Batt. ersetzen",SOS prüfen wird angezeigt. Backupbatterie für SOS defekt.//Batterie musste ersetzt werden.,,"Diagnostic guidé, SOS Batt. remplacer",Vérifier SOS s'affiche. Batterie de secours pour SOS défectueuse. La batterie a dû être remplacée.," Diagnostic guidé, SOS Batt. remplacer. Vérifier SOS s'affiche. Batterie de secours pour SOS défectueuse. La batterie a dû être remplacée.","message ""sos to check"""
MESSAGE APPEL SOS A CONTROLER,BOITIER HS,test clip ctrl cabalge tcu config essai,MESSAGE APPEL SOS A CONTROLER,BOITIER HS,test clip ctrl cabalge tcu config essai,MESSAGE APPEL SOS A CONTROLER. BOITIER HS. test clip ctrl cabalge tcu config essai,"message ""sos to check"""
SPIA SOS ACCESA,UNITA' TELEMATICA DIFETTOSA,SOSTITUZIONE CALCOLATORE TELEMATICO DIFETTOSO COME DA MR,VOYANT SOS ALLUMÉ,UNITÉ TÉLÉMATIQUE DÉFECTUEUSE,REMPLACEMENT CALCULATEUR TÉLÉMATIQUE DÉFECTUEUX SELON MR,VOYANT SOS ALLUMÉ. UNITÉ TÉLÉMATIQUE DÉFECTUEUSE. REMPLACEMENT CALCULATEUR TÉLÉMATIQUE DÉFECTUEUX SELON MR,"message ""sos to check"""
CHAMADA SOS veiculo indica mensagem erro chamada SOS,foi substituida a bateria e o calculador telematico,apos verificacao OK,Le véhicule SOS CALL indique un message d'erreur Appel SOS,batterie et calculateur télématique remplacés,apos verificacao OK,Le véhicule SOS CALL indique un message d'erreur Appel SOS. batterie et calculateur télématique remplacés. apos verificacao OK,"message ""sos to check"""
,,DIAG VALISE - APPLICATION DIAG GUIDE  - CONTROLE ALIMENTATION BOITIER - CONTROLE CABLAGE - ESSAI,,,DIAG VALISE - APPLICATION DIAG GUIDE  - CONTROLE ALIMENTATION BOITIER - CONTROLE CABLAGE - ESSAI, . DIAG VALISE - APPLICATION DIAG GUIDE - CONTROLE ALIMENTATION BOITIER - CONTROLE CABLAGE - ESSAI,inexploitable
"VERIFICAR MENSAGEM DE SOS (CARRO SEM REDE 4G, NAO LOCALIZA NA APP)",CALCULADOR,DTCAE0E49,"VÉRIFIEZ LE MESSAGE SOS (VOITURE SANS RÉSEAU 4G, NE SE TROUVE PAS DANS L'APP)",CALCULATEUR,DTCAE0E49,"VÉRIFIEZ LE MESSAGE SOS (VOITURE SANS RÉSEAU 4G, NE SE TROUVE PAS DANS L'APP). CALCULATEUR. DTCAE0E49","message ""sos to check"""
,"Kundenbeanstandung bestaetigt, Diagnose und Probefahrt mit den Kunden  durchgefuehrt, laut Diagnoset",Schluessel leuchtet auf- Notruf pruefen,,"Réclamation client confirmée, diagnostic et essai routier réalisés avec le client, selon Diagnoset",La touche s'allume - vérifier l'appel d'urgence," Réclamation client confirmée, diagnostic et essai routier réalisés avec le client, selon Diagnoset. La touche s'allume - vérifier l'appel d'urgence","message ""sos to check"""
SPIA SOS ACCESA,SOSTITUZIONE CENTRALINA TCU DIFETTOSA             FIC. N. 4-11214585,SOSTITUZIONE CENTRALINA TCU DIFETTOSA   FIC. N. 4-11214585,VOYANT SOS ALLUMÉ,FIC DE REMPLACEMENT DE L'UNITÉ DE CONTRÔLE TCU DÉFECTUEUSE. N° 4-11214585,FIC DE REMPLACEMENT DE L'UNITÉ DE CONTRÔLE TCU DÉFECTUEUSE. N° 4-11214585,VOYANT SOS ALLUMÉ. FIC DE REMPLACEMENT DE L'UNITÉ DE CONTRÔLE TCU DÉFECTUEUSE. N° 4-11214585. FIC DE REMPLACEMENT DE L'UNITÉ DE CONTRÔLE TCU DÉFECTUEUSE. N° 4-11214585,"message ""sos to check"""
affiche appel sos a controler,,suivant solution technique  68875,affiche appel sos a controler,,suivant solution technique  68875,affiche appel sos a controler. suivant solution technique 68875,"message ""sos to check"""
FONCTION SOS RESTE ENCLENCHEE,REMPLACEMENT BOITIER TELEMATIQUE,BOUTON SOS RESTE ENCLENCHE,FONCTION SOS RESTE ENCLENCHEE,REMPLACEMENT BOITIER TELEMATIQUE,BOUTON SOS RESTE ENCLENCHE,FONCTION SOS RESTE ENCLENCHEE. REMPLACEMENT BOITIER TELEMATIQUE. BOUTON SOS RESTE ENCLENCHE,"message ""sos to check"""
,,CHIAMATA D'EMERGENZA NON FUNZIONA.      ANOMALIA INTERNA AL CALCOLATORE TELEMAT ICO. SOST DELLO STESSO CON SOST ANCHE DE//LLA PILA AL SUO INTERNO.,,,L'APPEL D'URGENCE NE FONCTIONNE PAS. ANOMALIE DANS LE CALCULATEUR TELEMAT ICO. REMPLACEMENT DU MÊME AVEC REMPLACEMENT DE LA BATTERIE À L'INTÉRIEUR., . L'APPEL D'URGENCE NE FONCTIONNE PAS. ANOMALIE DANS LE CALCULATEUR TELEMAT ICO. REMPLACEMENT DU MÊME AVEC REMPLACEMENT DE LA BATTERIE À L'INTÉRIEUR.,"message ""sos to check"""
,boitier telematique en defaut. a remplacer,"FIC 4-11215447. DIAG AUTONOME AVEC RECH PANNE, SOLUTION ET CONTROLE PARAMETRES ET CONTINUITE.//CREATION FIC ET APPLICATION DIRECTIVES ET MAJ CLIP VERSION 210",,boitier telematique en defaut. a remplacer,"FIC 4-11215447. DIAG AUTONOME AVEC RECH PANNE, SOLUTION ET CONTROLE PARAMETRES ET CONTINUITE.CREATION FIC ET APPLICATION DIRECTIVES ET MAJ CLIP VERSION 210"," boitier telematique en defaut. a remplacer. FIC 4-11215447. DIAG AUTONOME AVEC RECH PANNE, SOLUTION ET CONTROLE PARAMETRES ET CONTINUITE.CREATION FIC ET APPLICATION DIRECTIVES ET MAJ CLIP VERSION 210","message ""sos to check"""
MESSAGE SOS A CONTROLER,REMPLACMENT BOITIER TELEMATIQUE VOIR FIC N° 4-11189757,MESSAGE SOS A CONTROLER  VOIR FIC N° 4-11189757  CONTROLE AVEC OUTIL DIAG ET CREATION FIC+PASSAGE DU TEMPS AVEC TECHLINE,MESSAGE SOS A CONTROLER,REMPLACMENT BOITIER TELEMATIQUE VOIR FIC N° 4-11189757,MESSAGE SOS A CONTROLER  VOIR FIC N° 4-11189757  CONTROLE AVEC OUTIL DIAG ET CREATION FIC+PASSAGE DU TEMPS AVEC TECHLINE,MESSAGE SOS A CONTROLER. REMPLACMENT BOITIER TELEMATIQUE VOIR FIC N° 4-11189757. MESSAGE SOS A CONTROLER VOIR FIC N° 4-11189757 CONTROLE AVEC OUTIL DIAG ET CREATION FIC+PASSAGE DU TEMPS AVEC TECHLINE,"message ""sos to check"""
